Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
1,1,1,1,4,1,1,1,4,3,3,3,3,3,4,2,3,72,5,1,1,1,19,2,2,2,5,2,5,1,1,3,3,5,1,2
3,1,3,3,3,4,2,4,4,1,4,1,2,4,1,2,2,52,4,1,2,5,18,2,2,1,5,2,3,4,3,3,2,4,4,4
3,3,4,3,3,4,4,1,4,1,4,3,2,4,4,2,2,36,5,1,2,2,41,2,1,1,5,2,1,5,4,1,3,5,4,4
1,1,1,1,1,1,1,4,4,1,4,3,4,4,4,1,2,71,5,1,1,4,66,2,2,2,5,2,1,1,1,1,4,1,1,1
1,3,4,2,3,2,1,4,4,2,4,3,4,4,2,2,2,70,4,1,2,2,66,2,2,2,5,2,3,1,2,4,3,1,3,2
3,2,2,3,3,1,2,4,4,1,4,4,3,4,2,2,2,39,6,1,3,2,41,2,2,2,5,2,3,3,3,1,2,2,3,2
1,3,3,2,3,4,4,4,4,1,4,3,4,1,1,1,1,37,6,1,1,3,41,2,1,2,5,2,3,1,2,4,4,5,4,1
4,3,3,3,4,2,1,4,4,4,4,4,4,2,1,1,2,64,8,1,1,4,39,1,2,2,5,2,2,5,2,4,4,4,2,3
1,1,1,1,1,1,1,4,1,3,1,3,1,3,4,2,1,34,6,7,1,1,24,2,2,1,5,2,3,5,5,1,3,5,1,1
1,4,3,4,2,3,3,2,4,1,4,1,3,3,2,1,2,36,6,1,1,3,41,2,2,1,5,2,5,5,1,3,3,4,4,4
3,5,4,4,4,2,4,3,4,4,2,2,3,4,4,2,2,66,5,7,99,1,19,2,2,1,5,2,5,5,4,4,4,3,4,4
2,5,4,4,4,4,1,3,4,1,4,1,4,1,1,2,2,67,6,1,3,3,67,2,2,2,5,2,3,5,2,4,3,5,3,4
4,4,4,3,2,4,1,4,4,3,4,3,4,4,3,1,2,75,4,1,2,1,65,1,1,1,5,2,5,3,2,3,3,5,4,4
5,1,4,3,3,1,1,1,4,1,1,4,4,1,1,1,2,62,4,1,2,1,41,2,1,2,5,2,1,3,1,2,1,5,2,1
2,2,2,2,2,3,4,2,4,1,4,1,4,4,1,1,2,45,4,1,2,2,41,1,2,1,5,2,4,5,2,1,1,5,1,1
3,2,3,3,3,3,4,3,4,1,4,1,4,4,4,2,1,67,5,1,1,2,66,1,2,2,5,2,5,3,5,4,4,5,3,4
4,2,1,4,2,4,4,4,2,2,3,4,1,3,3,1,1,27,4,1,2,4,41,2,2,1,5,2,3,5,2,3,3,5,1,1
1,5,4,4,4,4,4,4,4,1,4,1,3,3,3,1,1,27,3,1,1,2,41,2,2,2,5,2,2,1,1,4,3,4,4,4
1,1,1,1,1,1,4,3,4,3,3,2,3,4,3,1,1,30,4,1,1,2,26,2,2,1,5,2,4,3,4,2,2,3,1,2
1,1,3,3,3,1,1,4,4,1,4,4,4,4,3,2,1,27,4,1,2,1,41,1,1,1,5,2,3,1,3,3,3,5,3,2
1,3,2,3,3,1,1,4,4,1,4,1,4,1,1,2,2,56,6,1,1,4,41,2,2,2,5,2,2,1,1,1,3,5,2,1
2,2,3,3,3,2,3,2,4,2,3,2,4,4,3,2,2,61,4,1,3,3,41,2,2,1,5,2,2,3,3,3,3,5,3,4
1,3,4,1,4,1,1,1,4,1,4,1,4,2,3,2,2,38,6,1,1,3,41,1,2,2,5,2,3,4,4,4,4,4,2,4
2,3,3,3,2,3,3,4,4,1,2,2,3,4,2,2,2,61,7,1,1,3,41,2,2,2,5,2,4,5,3,4,4,4,3,4
5,3,2,1,3,4,4,4,4,1,4,1,4,4,1,2,1,52,3,1,1,1,41,1,2,1,5,2,5,4,5,1,1,5,4,4
